2015-07-24 15:44:54,505 [INFO ] (Thread-26) com.kambi.feeds.provider.RunningBallHandler    - RUNNING_BALL TID_508 | MATCH 12345 | SEQ 3 | Processing: [RunningBallEventEntry{lineups=null, matchid=12345, eventNumber=3, eventCodeId=2053, timestamp=1437723894001, eventCode='Goal Away', minute=1, tickerstate='1st half', tickerstateid=2, scoreHome=1, scoreAway=1, clearsEvent=null, relatedEvents=null, relatedEventCodes=null, zone='null', teamId=null, playerInNum=null, playerOutNum=null, playerInId=null, playerOutId=null, playerInName='null', playerOutName='null', eventReason='null', eventReasonId=null, playerNum=null, playerId=null, playerName='null', stoppageTime=null, statistics=[2053=1, 1029=1], valueEventData='null', score=null, currentPlaytime=30000, clockRunning=true, correctPlaytime=null, attendance='null', attendanceId=null, pitchCondition='null', pitchConditionId=null, weatherCondition='null', weatherConditionId=null, message='null', messageId=null, eventStateId=null, eventState='null', importedGameId='null'}]
2015-07-24 15:44:54,514 [INFO ] (5-thread-2) com.kambi.feeds.subscriber.NlsHandler H4rG37yjTUWhrEmzIHdSeg FEEDS  - NLS 1002750231, RUNNING BALL | MATCH 12345 | SEQ 3 | Sent: [NlsMessageNew{dataEntries=[NlsDataEntry{serviceName='OCCURRENCE', data=NlsOccurrenceData{matchTime=NlsMatchTimeData{period=0, timeInPeriod=NlsTimeInPeriodData{time=30}}, type='AWAY_TEAM_GOAL', id=0}}, NlsDataEntry{serviceName='NOTIFICATION', data=NlsNotificationNew{messageType='null', message='Away Team Goal', sticky=true, notificationType='NOTIFICATION_SUCCESS'}}]}]
2015-07-24 15:45:04,671 [INFO ] (5-thread-2) com.kambi.feeds.subscriber.NlsHandler H4rG37yjTUWhrEmzIHdSeg FEEDS  - NLS 1002750231, RUNNING BALL | MATCH 12345 | SEQ 3 | Sent: [NlsMessageNew{dataEntries=[NlsDataEntry{serviceName='SUSPENSION', data=NlsSuspension [suspendEnabled=true, counterType=GOAL]}, NlsDataEntry{serviceName='EDIT_OCCURRENCE', data=NlsOccurrenceData{matchTime=NlsMatchTimeData{period=0, timeInPeriod=NlsTimeInPeriodData{time=755}}, type='AWAY_TEAM_GOAL', id=3}}, NlsDataEntry{serviceName='NOTIFICATION', data=NlsNotificationNew{messageType='null', message='Away Team Goal time was adjusted to 12:35', sticky=true, notificationType='NOTIFICATION_NORMAL'}}]}]
2015-07-24 15:44:54,526 [INFO ] (5-thread-3) com.kambi.feeds.subscriber.SubscriberHandler H4rG37yjTUWhrEmzIHdSeg FEEDS  - RT 1002750231, RUNNING BALL | MATCH 12345 | SEQ 3 | Sent: [ResultToolMessage{occurrenceId=null, lifetimeId='null', eventId=null, value=1.0, sourceId='RUNNING_BALL', time=30, period=0, validTo=null, createdDate=null, createdBy='FEEDS_SOLUTION', occurrenceTypeId='GOALS_AWAY', parentId=null, externalOccurrenceId=3, confidenceFactor=0, deletedBy='null', validFrom=null, isOverride=false, participantId=null, index=null, isDeleted=null, liveConfidenceFactor=0, participantOutId=null, preMatchConfidenceFactor=0, occurrenceProperties=null, participantName='null', isDeletable=false, isModifiable=false, isParticipantIdSet=false, isOccurrencePropertiesSet=false, isParticipantOutIdSet=false, periodId='null'}]
2015-07-24 15:45:04,653 [INFO ] (5-thread-3) com.kambi.feeds.subscriber.SubscriberHandler H4rG37yjTUWhrEmzIHdSeg FEEDS  - RT 1002750231, RUNNING BALL | MATCH 12345 | SEQ 3 | Sent: [ResultToolMessage{occurrenceId=null, lifetimeId='null', eventId=null, value=1.0, sourceId='RUNNING_BALL', time=755, period=0, validTo=null, createdDate=null, createdBy='FEEDS_SOLUTION', occurrenceTypeId='GOALS_AWAY', parentId=null, externalOccurrenceId=3, confidenceFactor=0, deletedBy='null', validFrom=null, isOverride=false, participantId=null, index=null, isDeleted=null, liveConfidenceFactor=0, participantOutId=null, preMatchConfidenceFactor=0, occurrenceProperties=null, participantName='null', isDeletable=false, isModifiable=false, isParticipantIdSet=false, isOccurrencePropertiesSet=false, isParticipantOutIdSet=false, periodId='null'}]

2015-07-23 09:58:13,687 [INFO ] (Thread-24) com.kambi.feeds.connection.EnetpulseHandler    - ENETPULSE TID_1234 | MATCH ABC:DEF:1234 | SEQ 100 | Processing: [{"match":"ABC:DEF:1234", "id":"100"}]
2015-07-23 09:58:13,688 [INFO ] (Thread-24) com.kambi.feeds.connection.RunningBallHandler    - RUNNING_BALL TID_1234 | MATCH 300001 | SEQ 200 | Processing: [<event_list><event matchid="300001" id="200" /></event_list>]
2015-07-23 09:58:14,687 [INFO ] (Thread-24) com.kambi.feeds.connection.Blah    - NLS 100102425, RUNNINGBALL | MATCH ABC:DEF:1234 | SEQ 100 | Sent: [{"match":"ABC:DEF:1234", "id":"100"}]
2015-07-23 09:58:14,627 [INFO ] (Thread-24) com.kambi.feeds.connection.Blah    - RT 100102425, RUNNINGBALL | MATCH 300001 | SEQ 200 | Sent: [<event_list><event matchid="300001" id="200" /></event_list>]

